N1;N2;N3;N4;N5;N6;E1;E2;E3;E4;E5;E6;O1;O2;O3;O4;O5;O6;A1;A2;A3;A4;A5;A6;C1;C2;C3;C4;C5;C6
11;10;8;15;19;8;23;22;13;14;22;21;23;15;24;19;21;23;21;19;21;18;22;21;18;15;13;11;14;10
5;4;2;6;5;3;30;20;27;25;22;32;25;27;29;24;26;23;23;22;25;22;14;22;31;22;27;27;30;22
14;6;6;2;15;4;21;11;21;23;16;6;23;25;19;25;22;24;30;22;25;21;16;15;19;15;16;8;9;21
9;NA;12;4;NA;4;14;10;25;13;15;14;15;13;NA;NA;12;20;3;NA;14;16;21;14;22;NA;NA;NA;24;17
13;17;8;11;14;10;27;22;17;24;20;23;23;24;25;14;15;18;20;17;21;18;13;16;22;24;22;24;19;21
22;18;11;15;11;9;28;21;20;23;20;26;17;21;24;7;18;18;15;12;26;17;12;24;27;28;28;31;31;28
17;19;11;16;18;6;18;15;12;25;19;22;15;24;24;14;21;23;13;19;25;18;14;18;24;21;24;19;25;19
13;10;10;11;13;5;28;20;19;25;22;23;18;20;22;19;18;21;23;15;27;17;17;21;22;24;26;22;24;21
16;10;7;18;22;9;28;29;16;22;21;31;29;17;27;14;2;19;22;18;25;20;19;22;23;25;20;19;21;15
16;10;8;15;17;11;28;26;18;24;24;27;27;15;28;14;19;23;26;18;24;15;13;26;17;22;22;23;24;12
20;19;15;8;13;8;28;24;25;30;24;31;18;21;24;18;18;18;28;8;21;15;13;20;23;23;25;30;26;12
19;16;13;14;16;13;22;19;21;22;21;20;10;18;18;11;16;10;18;18;22;16;12;15;18;19;19;19;15;15
16;11;19;17;17;10;26;20;14;26;17;22;22;27;25;18;24;24;24;23;25;19;23;24;20;17;21;16;18;18
16;13;13;19;13;12;24;15;22;22;20;27;27;30;31;22;30;25;25;22;29;19;13;26;25;19;25;21;20;13
14;14;11;18;22;10;28;25;24;24;18;26;22;20;27;14;13;23;24;20;21;13;17;22;22;20;18;15;18;18
24;29;21;14;26;10;20;24;22;29;26;14;16;13;20;11;18;NA;10;11;19;3;20;NA;15;11;NA;23;18;5
23;14;23;24;20;18;13;15;3;15;12;9;22;10;23;14;5;18;24;17;18;15;19;25;17;24;20;19;7;17
10;13;20;13;21;10;19;17;17;10;27;22;25;28;21;15;27;21;12;16;20;12;19;24;20;20;24;13;21;20
20;29;18;18;28;2;14;7;18;15;26;9;28;25;29;18;22;27;17;20;17;7;1;17;16;2;5;10;12;2
24;19;18;23;18;16;29;30;31;21;28;26;28;32;30;20;28;24;20;27;23;11;19;26;17;15;25;25;21;15
9;10;10;9;17;8;25;20;21;26;24;27;27;19;25;22;25;16;31;24;24;16;22;28;21;17;22;24;21;7
28;28;19;27;20;28;15;4;3;4;6;31;31;14;28;8;21;21;28;30;22;17;17;23;12;5;19;4;12;7
10;11;6;9;13;6;27;25;14;19;21;24;18;23;20;23;20;25;22;26;24;20;22;25;19;19;22;21;25;18
12;7;10;11;17;8;26;26;17;21;24;30;22;24;26;25;18;22;24;17;22;15;20;21;19;18;19;16;19;14
20;18;16;15;23;13;27;23;18;19;26;24;24;26;22;23;25;21;20;17;19;21;25;26;10;13;20;15;16;6
22;16;15;18;25;9;30;15;24;24;14;26;14;17;29;14;3;16;26;22;26;15;28;24;20;21;25;14;18;21
24;15;19;18;25;19;21;12;12;13;14;16;23;22;22;10;11;21;24;16;20;20;18;24;14;13;20;10;10;11
18;12;3;12;21;0;29;20;27;29;24;28;28;32;32;21;28;24;21;13;26;7;15;20;25;21;26;22;21;18
17;10;18;14;19;10;23;21;13;22;21;21;15;19;22;20;14;16;21;17;23;13;22;19;16;19;20;19;16;15
19;7;14;19;21;7;25;20;10;13;20;15;27;29;26;15;25;19;15;18;18;18;17;18;27;18;23;19;9;23
2;7;2;5;14;9;31;28;21;32;30;28;23;28;30;20;28;29;25;21;29;16;14;26;25;25;30;25;27;22
10;14;20;11;18;10;19;11;19;15;14;15;17;17;22;19;16;22;14;24;19;13;16;20;21;17;20;9;22;15
