"","partei","vanus","sugu","aastaid_koolis"
"1497","Reform",56,"N",20
"1498","Kesk",38,"N",13
"1499","Kesk",43,"N",14
"1500","Reform",35,"M",20
"1501","IRL",35,"N",17
"1502","Kesk",59,"M",16
"1506","IRL",37,"M",20
"1509","Kesk",53,"N",15
"1510","Kesk",46,"M",18
"1511","IRL",56,"N",15
"1512","Reform",36,"N",13
"1516","Kesk",58,"N",16
"1517","Kesk",38,"N",15
"1518","IRL",55,"M",16
"1520","Kesk",53,"N",18
"1527","Reform",38,"N",15
"1528","IRL",51,"M",18
"1532","Reform",40,"M",18
"1541","Reform",56,"N",16
"1542","IRL",30,"M",16
"1543","Kesk",52,"M",16
"1544","Reform",42,"M",17
"1545","Reform",49,"N",17
"1546","Reform",34,"M",17
"1548","Reform",32,"N",17
"1549","Reform",30,"N",17
"1550","Reform",41,"N",23
"1551","Kesk",55,"M",16
"1552","IRL",38,"M",18
"1555","IRL",41,"N",15
"1556","Reform",43,"N",16
"1557","IRL",35,"M",17
"1558","Reform",41,"N",20
"1559","Kesk",75,"M",16
"1563","Reform",66,"N",17
"1564","Reform",69,"N",17
"1568","IRL",67,"N",19
"1569","Reform",67,"N",17
"1570","Reform",67,"M",16
"1572","Kesk",83,"N",16
"1575","Kesk",75,"N",17
"1576","Reform",68,"N",16
"1578","Reform",64,"N",15
"1581","IRL",64,"N",18
"1584","IRL",61,"N",15
"1585","Kesk",78,"N",14
"1586","Kesk",62,"N",16
"1588","Reform",66,"N",17
"1591","Reform",61,"N",17
"1594","Reform",63,"M",17
"1595","Kesk",72,"M",16
"1598","IRL",60,"N",13
"1601","Kesk",74,"N",15
"1605","IRL",64,"N",16
"1608","Kesk",61,"M",21
"1611","Kesk",61,"N",16
"1614","Kesk",74,"N",15
"1615","IRL",61,"N",25
"1617","IRL",70,"N",16
"1618","Kesk",68,"M",16
"1624","Reform",38,"N",15
"1628","IRL",47,"M",17
"1629","IRL",36,"M",17
"1631","IRL",52,"M",16
"1633","Reform",53,"N",16
"1634","Kesk",37,"N",20
"1637","IRL",43,"M",21
"1638","Kesk",32,"M",20
"1640","IRL",66,"M",17
"1641","IRL",77,"M",20
"1642","Reform",74,"M",16
"1643","Reform",77,"N",17
"1645","Kesk",83,"N",15
"1646","Reform",79,"N",16
"1647","IRL",70,"N",16
"1650","Reform",60,"M",17
"1651","Reform",62,"N",18
"1653","Reform",66,"N",19
