"","vanus","N","E","O","A","C","valmidus"
"117",68.2706825552678,3.25,3.16666666666667,3,3.5,2.75,"pigem ei"
"118",59,3.16666666666667,2.83333333333333,3,2.91666666666667,2.75,"pigem ei"
"119",56,3.08333333333333,3.08333333333333,2.91666666666667,3.41666666666667,2.75,"pigem ei"
"120",55.7604500184619,2.91666666666667,2.66666666666667,3,2.83333333333333,2.75,"pigem ei"
"121",58,2.75,2.75,2.75,3,2.75,"pigem ei"
"122",66,3.41666666666667,NA,3,2.91666666666667,2.66666666666667,"pigem ei"
"123",74.4791322837362,3.33333333333333,2.58333333333333,2.75,2.83333333333333,2.66666666666667,"pigem ei"
"124",55,3.08333333333333,3.08333333333333,2.75,2.41666666666667,2.66666666666667,"pigem ei"
"125",61,3,2.91666666666667,3,3,2.66666666666667,"pigem ei"
"126",69,3,2.41666666666667,2.58333333333333,2.91666666666667,2.66666666666667,"pigem ei"
"127",55,2.75,3,2.83333333333333,2.58333333333333,2.66666666666667,"pigem ei"
"128",56,2.66666666666667,2.75,3.25,2.08333333333333,2.66666666666667,"pigem ei"
"129",55,2.66666666666667,2.75,3,3.16666666666667,2.66666666666667,"pigem ei"
"130",62,3.25,2.66666666666667,3.08333333333333,2.91666666666667,2.58333333333333,"pigem ei"
"131",60,3.25,2.91666666666667,2.91666666666667,2.83333333333333,2.58333333333333,"pigem ei"
"132",63,3.25,2.5,2.83333333333333,2.5,2.58333333333333,"pigem ei"
"133",57,3.16666666666667,2.16666666666667,2.91666666666667,3.08333333333333,2.58333333333333,"pigem ei"
"134",56,3.08333333333333,2.66666666666667,3.16666666666667,2.91666666666667,2.58333333333333,"pigem ei"
"135",66,3,3.08333333333333,NA,2.66666666666667,2.58333333333333,"pigem ei"
"136",55,2.83333333333333,2.91666666666667,2.66666666666667,3,2.58333333333333,"pigem ei"
"137",58,2.75,2.83333333333333,2.75,3,2.5,"pigem ei"
"138",55.8660590302596,3,2.75,3,3.16666666666667,2.41666666666667,"pigem ei"
"139",56,2.91666666666667,2.83333333333333,2.83333333333333,2.58333333333333,2.41666666666667,"pigem ei"
"140",55.6985103959008,2.91666666666667,3.08333333333333,2.75,3.16666666666667,2.41666666666667,"pigem ei"
"141",70.0896395402701,2.83333333333333,2.16666666666667,2.33333333333333,2,2.33333333333333,"pigem ei"
"142",66,3.41666666666667,3,2.75,2.41666666666667,NA,"pigem ei"
"143",67,3.41666666666667,2.91666666666667,3.25,3.5,3.58333333333333,"pigem ei"
"144",49.895440898149,3.41666666666667,2.66666666666667,3.33333333333333,3.5,3.5,"pigem ei"
"145",57.922303102318,3.41666666666667,2.16666666666667,3.08333333333333,3.33333333333333,3.41666666666667,"pigem ei"
"146",63.9340488786514,3.41666666666667,3,3.16666666666667,2.5,3.33333333333333,"pigem ei"
"147",72.6623009539353,3.41666666666667,3.25,3,3,3.33333333333333,"pigem ei"
"148",68.0213092794603,3.41666666666667,2.91666666666667,3.08333333333333,3,3.25,"pigem ei"
"149",NA,2.91666666666667,3.33333333333333,3.25,2.58333333333333,3.25,"pigem ei"
"150",53.9887771331246,3.41666666666667,3.08333333333333,3.16666666666667,3.5,3.16666666666667,"pigem ei"
"151",64.8903926730048,3.41666666666667,3.33333333333333,3.08333333333333,3.16666666666667,3.08333333333333,"pigem ei"
"152",54.1183899239346,3.33333333333333,2.91666666666667,3.08333333333333,3.41666666666667,3.08333333333333,"pigem ei"
"153",65,3.08333333333333,2.83333333333333,3,3.16666666666667,3,"pigem ei"
"154",55,3.75,2.66666666666667,3,3.5,2.83333333333333,"pigem ei"
"155",58,3.5,2.83333333333333,2.66666666666667,2.66666666666667,2.75,"pigem ei"
"156",57,3,2.83333333333333,2.91666666666667,2.75,2.75,"pigem ei"
"157",65,3.5,2.91666666666667,3.08333333333333,3.41666666666667,3.75,"pigem jah"
"158",58,3.33333333333333,3.16666666666667,3.33333333333333,3.66666666666667,3.75,"pigem jah"
"159",67,3.66666666666667,3.66666666666667,NA,3.16666666666667,3.66666666666667,"pigem jah"
"160",61,3.58333333333333,3.16666666666667,2.83333333333333,2.75,3.5,"pigem jah"
"161",59,3.08333333333333,2.66666666666667,2.91666666666667,2.58333333333333,3.41666666666667,"pigem jah"
"162",71.0719189608354,3.83333333333333,3.16666666666667,3.08333333333333,2.83333333333333,3.33333333333333,"pigem jah"
"163",67,3.66666666666667,2.58333333333333,2.75,3.08333333333333,3.25,"pigem jah"
"164",65,3.41666666666667,2.91666666666667,2.91666666666667,3,3.25,"pigem jah"
"165",56,3,NA,3,3.16666666666667,3.25,"pigem jah"
"166",73.4639819891646,3.66666666666667,3.16666666666667,3.08333333333333,3,3.08333333333333,"pigem jah"
"167",64,2.91666666666667,2.66666666666667,3.16666666666667,3.08333333333333,2.91666666666667,"pigem jah"
"168",56,3.5,2.91666666666667,2.66666666666667,3,2.83333333333333,"pigem jah"
"169",74,3.33333333333333,3.08333333333333,3.16666666666667,3,2.83333333333333,"pigem jah"
"170",55,2.83333333333333,3,2.83333333333333,2.91666666666667,2.83333333333333,"pigem jah"
"171",53.6066467593536,3.5,3.08333333333333,3.16666666666667,3.08333333333333,NA,"pigem jah"
"172",56,3.5,2.66666666666667,2.66666666666667,2.91666666666667,NA,"pigem jah"
"173",56,3.08333333333333,3,3.16666666666667,2.91666666666667,NA,"pigem jah"
"174",59.771949270985,2.83333333333333,3.66666666666667,3.91666666666667,3.75,3.91666666666667,"pigem jah"
"175",68,3.66666666666667,3.41666666666667,3,2.66666666666667,3.58333333333333,"pigem jah"
"176",63,3.08333333333333,3.08333333333333,2.66666666666667,3.16666666666667,3.5,"pigem jah"
"177",68,3.58333333333333,2.83333333333333,2.91666666666667,3,3.33333333333333,"pigem jah"
"178",59,3.58333333333333,2.91666666666667,2.91666666666667,2.83333333333333,3.25,"pigem jah"
"179",64.4990414855402,3.58333333333333,2.75,3,3.25,3.16666666666667,"pigem jah"
"180",55,2.83333333333333,3.33333333333333,2.83333333333333,3,3.16666666666667,"pigem jah"
"181",52.9556546426242,3.5,2.25,2.83333333333333,3,3,"pigem jah"
"182",66,2.91666666666667,2.91666666666667,3.25,2.83333333333333,3,"pigem jah"
"183",55,3.5,2.83333333333333,2.91666666666667,2.75,2.91666666666667,"pigem jah"
"184",67,3,2.58333333333333,3.08333333333333,3,2.91666666666667,"pigem jah"
"185",68,2.5,2.66666666666667,2.75,2.66666666666667,2.83333333333333,"pigem jah"
"186",68,3.25,2.33333333333333,NA,3,3.33333333333333,NA
"187",59,3,2.83333333333333,2.91666666666667,3.08333333333333,3.33333333333333,NA
"188",68,3,2.58333333333333,3.25,2.91666666666667,3.25,NA
"189",NA,3.16666666666667,2.66666666666667,2.66666666666667,2.91666666666667,3.08333333333333,NA
"190",NA,2.91666666666667,2.83333333333333,2.75,3.08333333333333,3.08333333333333,NA
"191",64,3.25,2.58333333333333,3.16666666666667,3.08333333333333,3,NA
"192",59,2.66666666666667,2.41666666666667,2.41666666666667,2.75,3,NA
